Name,LivePerson,Website
Pennsylvania College of Technology,,https://www.pct.edu/about/contact-penn-college
Bloomsburg University of Pennsylvania,,https://www.bloomu.edu/
California University of Pennsylvania,ERROR,
Cheyney University of Pennsylvania,403,https://cheyney.edu/
Clarion University of Pennsylvania,,https://www.clarion.edu/about-clarion/computing-services/help-desk/
East Stroudsburg University of Pennsylvania,,https://www.esu.edu/computing_communication_services/academic_computing/index.cfm
Edinboro University of Pennsylvania,,https://www.edinboro.edu/about/get-in-touch/index.php
Indiana University of Pennsylvania,,https://www.iup.edu/itsupportcenter/index.html
Kutztown University of Pennsylvania,,https://www.kutztown.edu/news-and-media/announcements/chat-with-ku.html
Lock Haven University of Pennsylvania,,https://lockhaven.edu/
Mansfield University of Pennsylvania,,https://ct.mansfield.edu/helpdesk.cfm
Millersville University of Pennsylvania,,https://www.millersville.edu/admissions/undergrad/contact/
Shippensburg University of Pennsylvania,,https://www.ship.edu/
Slippery Rock University of Pennsylvania,,https://www.sru.edu/life-at-sru/health-and-wellness/student-support
West Chester University,,https://www.wcupa.edu/_services/STU/ramsEyeView/academicComputing.aspx
West Chester University in Philadelphia,,https://www.wcupa.edu/_admin/philly/
Community College of Allegheny County (Allegheny campus),,https://chat.ccac.edu/
Community College of Allegheny County (Boyce campus),,https://chat.ccac.edu/
Community College of Allegheny County (north campus),,https://chat.ccac.edu/
Community College of Allegheny County (south campus),,https://www.ccac.edu/
Community College of Beaver County,,https://www.ccbc.edu/
Bucks County Community College (Newtown campus),,https://www.bucks.edu/contact/
Bucks County Community College (Lower Bucks campus),,https://www.bucks.edu/contact/
Bucks County Community College (Upper Bucks campus),,https://www.bucks.edu/contact/
Butler County Community College,,https://www.butlercc.edu/
Delaware County Community College (Marple campus),,https://www.dccc.edu/about/about-college/contact-us
Delaware County Community College (Downingtown campus),,https://www.dccc.edu/about/about-college/contact-us
"Harrisburg Area Community College, Central Pennsylvania's Community College (Harrisburg campus)",,https://www.hacc.edu/
"Harrisburg Area Community College, Central Pennsylvania's Community College (Lancaster campus)",,https://www.hacc.edu/
"Harrisburg Area Community College, Central Pennsylvania's Community College (York campus)",,https://www.hacc.edu/
"Harrisburg Area Community College, Central Pennsylvania's Community College (Gettysburg campus)",,https://www.hacc.edu/
"Harrisburg Area Community College, Central Pennsylvania's Community College (Lebanon campus)",,https://www.hacc.edu/
Lehigh Carbon Community College (main campus),ERROR,
Lehigh Carbon Community College (Donley center and Baum School of Art),ERROR,
Lehigh Carbon Community College (Morgan center),ERROR,
Lehigh Carbon Community College (Lehigh Valley airport),ERROR,
Luzerne County Community College (main campus),,https://www.luzerne.edu/covidinfo/livechat.jsp
Luzerne County Community College (Berwick center),,https://www.luzerne.edu/covidinfo/livechat.jsp
Luzerne County Community College (Hazleton center),,https://www.luzerne.edu/
Luzerne County Community College (Kulpmont center),,https://www.luzerne.edu/
Luzerne County Community College (Pittston center),,https://www.luzerne.edu/covidinfo/livechat.jsp
Luzerne County Community College (Scranton center),,https://www.luzerne.edu/covidinfo/livechat.jsp
Luzerne County Community College (Northumberland regional higher education center),,https://www.luzerne.edu/about/oc/shamokin.jsp?offcampus=NORT
Luzerne County Community College (Wilkes-Barre center),,https://www.luzerne.edu/covidinfo/livechat.jsp
Montgomery County Community College (central campus),,https://www.mc3.edu/footer/contact-us
Montgomery County Community College (west campus),,https://www.mc3.edu/
Northampton County Area Community College (main campus),,https://www.northampton.edu/about/contact-ncc.htm
Northampton County Area Community College (Monroe campus),,https://www.northampton.edu/admissions/campus-locations/monroe-campus.htm
Pennsylvania Highlands Community College,,https://www.pennhighlands.edu/about/college-directory/contact-offices/
Community College of Philadelphia,,https://www.myccp.online/information-technology-services/need-help
Reading Area Community College,,https://www.racc.edu/
Thaddeus Stevens College of Technology,,https://stevenscollege.edu/it-support/
Westmoreland County Community College,,https://westmoreland.edu/academics/online-learning/support-center.html
Pittsburgh Technical College,403,https://publicsafety.ptcollege.edu/contact/
University of Pittsburgh at Titusville educational and training hub,,https://www.titusville.pitt.edu/
University of Pittsburgh at Bradford,,https://my.pitt.edu/task/all/live-chat
University of Pittsburgh at Greensburg,,https://my.pitt.edu/task/all/live-chat
University of Pittsburgh at Johnstown,,https://my.pitt.edu/task/all/live-chat
Temple University Ambler,,https://ambler.temple.edu/about/contact
Alvernia University,404,https://www.alvernia.edu/Chat
Arcadia University,,https://www.arcadia.edu/life-arcadia/campus-life-resources/information-technology/
Bryn Mawr College,,https://www.brynmawr.edu/admissions-aid/get-connected
Carlow University,,https://online.carlow.edu/online-student-life/support-team/
Carnegie Mellon University,,https://www.cmu.edu/admission/contact-us
Chestnut Hill College,,https://www.chc.edu/chat
DeSales University,,https://www.desales.edu/academics/academic-support-resources/technology-help-desk
Drexel University,,https://drexel.edu/cci/events/details/?eid=28836&iid=76723
Duquesne University of the Holy Spirit,,https://www.duq.edu/holyspirit
Eastern University,,https://www.eastern.edu/about/contact-eastern-university
Gannon University,,https://www.gannon.edu/admissions/undergraduate-admissions/talk-with-an-advisor/
Gratz College,,https://www.gratz.edu/students/research/it-helpdesk
Holy Family University,,https://www.holyfamily.edu/about/administrative-services/help-desk
Holy Family University (Newtown campus),,https://www.holyfamily.edu/contact-us
Immaculata University,403,https://www.immaculata.edu/contact-us/
La Salle University,,https://www.lasalle.edu/technology/
Lehigh University,,https://ras.lehigh.edu/chat
Marywood University,,https://www.marywood.edu/depts/it/
Misericordia University,,https://www.misericordia.edu/information-technology-office/student-help-desk
Neumann University,,https://www.neumann.edu/itr/helpdesk
University of Pennsylvania,,https://www.isc.upenn.edu/chat-online-us
Robert Morris University,,https://www.rmu.edu/contact
Saint Francis University,,https://www.francis.edu/node/5200
Saint Joseph's University,,https://www.sju.edu/contact-us
University of Scranton,,https://www.scranton.edu/information-technology/about-us/tsc.shtml
University of the Sciences,,https://www.uwo.ca/sci/counselling/advising_services/live_chat.html
Thomas Jefferson University,,https://www.jefferson.edu/academics/student-email/contact.html
Villanova University,,https://www1.villanova.edu/villanova/unit/helpsupport.html
Waynesburg University,,https://www.waynesburg.edu/live-stream
Widener University,,https://www.widener.edu/profile/information-technology-helpdesk-its
Wilkes University,,https://www.wilkes.edu/about-wilkes/offices-and-administration/information-technology-services/help-desk.aspx
Yeshivah Bais Moshe,,https://www.godaven.com/shul-details/18454/yeshiva-beis-moshe
Missio Seminary,,https://missio.edu/give/
Byzantine Catholic Seminary of Saints Cyril and Methodius,,https://bcs.edu/
Calvary Baptist Theological Seminary,,https://calvaryindia.com/contact/
Christ the Saviour Seminary of American Carpatho-Russian Orthodox Diocese,,https://www.acrod.org/directories/cathedral/live/
Geisinger Commonwealth School of Medicine,,https://www.geisinger.edu/education
Evangelical Seminary,403,https://ses.edu/
Lancaster Theological Seminary,,https://www.lancasterseminary.edu/
Lake Erie College of Osteopathic Medicine,,https://lecom.edu/contact/
United Lutheran Seminary,,https://www.unitedlutheranseminary.edu/contact
United Lutheran Seminary,,https://www.unitedlutheranseminary.edu/
Palmer Theological Seminary,,https://www.facebook.com/PalmerTheologicalSeminary/
Pittsburgh Theological Seminary,,https://www.facebook.com/PittsburghTheologicalSeminary/
Philadelphia College of Osteopathic Medicine,,https://www.pcom.edu/contact.html
Reformed Episcopal Seminary,,https://twitter.com/RESeminary?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Reformed Presbyterian Theological Seminary,,https://www.rpts.edu/
Reconstructionist Rabbinical College,,https://rrc.edu/
Respect Graduate School,,https://twitter.com/RespectGS?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Saint Charles Borromeo Seminary,,https://www.scs.edu/news-events/livestream-events/
Saint Tikhon's Orthodox Theological Seminary,403,https://www.stots.edu/
Salus University,,https://www.salus.edu/About/Contact-Us.aspx
Trinity School for Ministry,406,https://www.tsm.edu/donate/
United States Army War College,ERROR,
Westminster Theological Seminary,,https://www.wts.edu/resources/current-students
Won Institute of Graduate Studies,403,https://www.woninstitute.edu/
Albright College,,https://albrightathletics.com/coverage
Allegheny College,403,https://sites.allegheny.edu/resources/student-services/
The American College of Financial Services,,https://www.theamericancollege.edu/
Bryn Athyn College of the New Church,,https://brynathyn.edu/
Bucknell University,,https://www.bucknell.edu/contact-bucknell
Cabrini University,,https://www.cabrini.edu/undergraduate/student-experience/academic-resources-and-support
Cairn University,403,https://cairn.edu/livestream/
Cedar Crest College,,https://help.cedarcrest.edu/contactus.html
Central Penn College,403,https://www.centralpenn.edu/contact/
Chatham University,,https://www.chatham.edu/contact/index.html
Delaware Valley University,,https://delval.edu/technology-services
Dickinson College,,https://www.dickinson.edu/info/20198/technology_services
Elizabethtown College,,https://www.etown.edu/
Franklin and Marshall College,,https://www.fandm.edu/about/contact
Geneva College,,https://athletics.geneva.edu/coverage
Gettysburg College,,https://gettysburgsports.com/coverage
Grove City College,,https://www.livechat.com/customers/customer-stories/grove-city-college/
Gwynedd Mercy University,,https://www.gmercyu.edu/about-gmercyu/gmercyu-administration/it-services
Harrisburg University of Science and Technology,,https://ithelp.harrisburgu.edu/support/home
Haverford College,,https://www.haverford.edu/instructional-information-technology-services/itservicedesk
Juniata College,,https://www.juniata.edu/contact/
Keystone College,,https://www.gokcgiants.com/coverage
King's College (The College of Christ the King),,https://www.kings.edu/life_at_kings/campus_ministry
La Roche University,,https://www.laroche.edu/Contact_Us/
Lafayette College,,https://its.lafayette.edu/get-help/
Lebanon Valley College,,https://chat.lvc.edu/
Lycoming College,,https://www.lycoming.edu/its/support.aspx
Mercyhurst University,,https://www.mercyhurst.edu/about/contact
Messiah University,,https://www.messiah.edu/events/event/760/virtual_prospective_student_open_house_and_live_chat
Moravian University,,https://www.moravian.edu/contact-us
Mount Aloysius College,403,https://www.mtaloy.edu/admissions/financial-aid/work-study/help-desk-assistant/
Muhlenberg College,403,https://www.muhlenberg.edu/offices/oit/studentcomputing/studenthelpdesk/
Peirce College,ERROR,
